DATE,NYC,MANHATTAN,PERCENTAGE
2016-01-01,18101,3178,0.17557041047455943
2016-02-01,15985,3195,0.19987488270253362
2016-03-01,18471,3479,0.18834930431487196
2016-04-01,18331,3540,0.19311548742567236
2016-05-01,20052,3432,0.17115499700777978
2016-06-01,19433,2956,0.15211238614727526
2016-07-01,19867,3055,0.15377258770825994
2016-08-01,19678,2844,0.14452688281329404
2016-09-01,19492,2744,0.14077570285245228
2016-10-01,19666,2831,0.14395403234007934
2016-11-01,19315,2838,0.14693243593062386
2016-12-01,19214,2634,0.13708754033517226
