Author Name,Books Amount
Malcolm Gladwell,28
Charles Duhigg,26
Daniel Kahneman,23
Steven D Levitt and Stephen J Dubner,10
Phil Knight,8
Tony Robbins,8
Michael Lewis,8
Sheryl Sandberg with Nell Scovell,7
Sophia Amoruso,7
Angela Duckworth,7
Adam Grant,6
Thomas Piketty,5
Jocko Willink and Leif Babin,4
Arianna Huffington,4
Bill Burnett and Dave Evans,4
Peter Thiel with Blake Masters,4
Daniel J Levitin,3
Chip Gaines and Joanna Gaines with Mark Dagostino,3
Jordan Belfort,3
Ashlee Vance,3
"Laurence J Kotlikoff, Philip Moeller and Paul Solman",3
Naomi Klein,3
Simon Sinek,3
Steven Brill,2
Peter H Diamandis and Steven Kotler,2
James J Cramer,2
Charles G Koch,2
Alec Ross,2
Vishen Lakhiani,2
Spencer Rascoff and Stan Humphries,2
Thomas L Friedman,2
Lewis Howes,2
Urban Meyer with Wayne Coffey,2
Steve Case,2
Ben S Bernanke,2
John Brooks,2
"Stanley McChrystal with Tantum Collins, David Silverman and Chris Fussell",2
Walter Isaacson,2
Martin Lindstrom,1
"Neil Patel, Patrick Vlaskovits and Jonas Koffler",1
Steven Johnson,1
Brent Schlender and Rick Tetzeli,1
Adam Braun with Carlye Adler,1
Eric Schmidt and Jonathan Rosenberg,1
Dan Lyons,1
Timothy F Geithner,1
Jeremy Gutsche,1
Robert M Gates,1
Kevin Kelly,1
Alan C Fox,1
Daymond John,1
Nicole Curtis,1
Alison Levine,1
Dave Ramsey and Rachel Cruze,1
Erik Brynjolfsson and Andrew McAfee,1
Steve McClatchy,1
Marc Goodman,1
Gary Vaynerchuk,1
Bill Browder,1
Alexa Von Tobel,1
Robert D Putnam,1
Jake Knapp with John Zeratsky and Braden Kowitz,1
Russell Simmons with Chris Morrow,1
James Andrew Miller,1
Neel Doshi,1
Kristin Cavallari,1
Ben Horowitz,1
Brigid Schulte,1
Amy Chua and Jed Rubenfeld,1
Nely Galán,1
Tim Ferriss,1
Leerom Segal and others,1
Michael Fertik and David C Thompson,1
Ed Catmull with Amy Wallace,1
Jeff Walker,1
Moises Naim,1
Jonathan and Drew Scott,1
Kathryn Hall and Craig Hall,1
Katty Kay and Claire Shipman,1
Edward Conard,1
Chris Anderson,1
Sally Hogshead,1
James Stone,1
David McCullough,1
Maciej Kranz,1
Robert Cialdini,1
Jonah Berger,1
Ruchir Sharma,1
Author Name,Books Amount
Malcolm Gladwell,35
Charles Duhigg,33
Daniel Kahneman,31
Steven D Levitt and Stephen J Dubner,13
Phil Knight,11
Tony Robbins,11
Michael Lewis,11
Sheryl Sandberg with Nell Scovell,10
Angela Duckworth,10
Adam Grant,8
Sophia Amoruso,8
Ashlee Vance,6
"Laurence J Kotlikoff, Philip Moeller and Paul Solman",6
Peter Thiel with Blake Masters,6
Jocko Willink and Leif Babin,5
Chip Gaines and Joanna Gaines with Mark Dagostino,5
Thomas Piketty,5
Naomi Klein,5
Arianna Huffington,4
Bill Burnett and Dave Evans,4
Thomas L Friedman,4
"Stanley McChrystal with Tantum Collins, David Silverman and Chris Fussell",4
Walter Isaacson,4
Steven Johnson,3
Eric Schmidt and Jonathan Rosenberg,3
Daniel J Levitin,3
Jordan Belfort,3
Tim Ferriss,3
Simon Sinek,3
Steven Brill,2
Robert M Gates,2
Daymond John,2
Peter H Diamandis and Steven Kotler,2
James J Cramer,2
Charles G Koch,2
Alec Ross,2
Vishen Lakhiani,2
Spencer Rascoff and Stan Humphries,2
Lewis Howes,2
Urban Meyer with Wayne Coffey,2
Steve Case,2
Ben S Bernanke,2
John Brooks,2
Jonah Berger,2
Martin Lindstrom,1
Sheelah Kolhatkar,1
"Neil Patel, Patrick Vlaskovits and Jonas Koffler",1
Antonio García Martínez,1
Brent Schlender and Rick Tetzeli,1
Adam Braun with Carlye Adler,1
Dan Lyons,1
Timothy F Geithner,1
Jeremy Gutsche,1
Kevin Kelly,1
Alan C Fox,1
Nicole Curtis,1
Angie Morgan,1
Alison Levine,1
Dave Ramsey and Rachel Cruze,1
Erik Brynjolfsson and Andrew McAfee,1
Steve McClatchy,1
Marc Goodman,1
Marshall Goldsmith and Mark Reiter,1
Gary Vaynerchuk,1
Bill Browder,1
Henry M Paulson Jr,1
Alexa Von Tobel,1
Robert D Putnam,1
Jake Knapp with John Zeratsky and Braden Kowitz,1
Russell Simmons with Chris Morrow,1
James Andrew Miller,1
Neel Doshi,1
Kristin Cavallari,1
Ben Horowitz,1
Gary Taubes,1
Brigid Schulte,1
Amy Chua and Jed Rubenfeld,1
Nely Galán,1
Nicholas Kristof and Sheryl WuDunn,1
Leerom Segal and others,1
Michael Fertik and David C Thompson,1
Ed Catmull with Amy Wallace,1
Jeff Walker,1
Moises Naim,1
Jonathan and Drew Scott,1
Kathryn Hall and Craig Hall,1
Katty Kay and Claire Shipman,1
Jane Bryant Quinn,1
Edward Conard,1
Chris Anderson,1
Sally Hogshead,1
Beth Kobliner,1
James Stone,1
David McCullough,1
Maciej Kranz,1
Robert Cialdini,1
Ruchir Sharma,1
